host,tema,prueba_id,descripcion,resultado
192.168.56.104,tema2,1,permisos claves .ssh (root y adminpas),FAIL
192.168.56.104,tema2,2,/var/www con grupo web (0775 root:web),FAIL

host,tema,passed,total,score_percent
192.168.56.104,tema2,0,2,0
